,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
5240,mathejo01,4,32,99,10,27,3,0,0,6.0,1.0,9,,Joe,Mathes,180.0,72.0,B,R,2B,N,0.272727272727273,0.33333333333333304,0.303030303030303
8378,tolbema01,3,247,605,76,139,27,9,3,54.0,17.0,48,105.0,Matt,Tolbert,185.0,72.0,B,R,2B,N,0.22975206611570198,0.286370597243492,0.31900826446281
5307,mcanupa01,5,133,234,23,47,9,1,6,23.0,1.0,36,73.0,Paul,McAnulty,225.0,71.0,L,R,OF,N,0.20085470085470103,0.30740740740740696,0.324786324786325
6238,onsloja01,5,45,77,8,13,2,0,0,4.0,1.0,10,,Jack,Onslow,180.0,71.0,R,R,C,N,0.168831168831169,0.264367816091954,0.194805194805195
6249,orlanpa01,3,278,874,98,230,44,10,14,81.0,18.0,22,203.0,Paulo,Orlando,215.0,74.0,R,R,OF,N,0.263157894736842,0.28125,0.384439359267735
915,bresnro01,18,1446,4481,682,1252,218,71,26,530.0,212.0,714,403.0,Roger,Bresnahan,200.0,69.0,R,R,C,Player,0.279401919214461,0.37844080846968203,0.37714795804507895
4635,landgr01,7,293,910,62,221,21,6,0,80.0,14.0,27,,Grover,Land,190.0,72.0,R,R,C,N,0.24285714285714302,0.264674493062967,0.27912087912087896
2114,derrimi01,0,24,33,3,7,1,0,0,5.0,0.0,0,11.0,Mike,Derrick,190.0,72.0,L,R,1B,N,0.212121212121212,0.212121212121212,0.24242424242424201
5799,morgany01,7,598,1953,288,550,74,27,12,136.0,120.0,145,352.0,Nyjer,Morgan,180.0,70.0,L,L,OF,N,0.281618023553507,0.331267874165872,0.36559139784946204
7884,spangal01,12,912,2267,307,594,87,26,21,175.0,37.0,295,234.0,Al,Spangler,175.0,72.0,L,L,OF,N,0.262020291133657,0.34699453551912607,0.35112483458315
2196,dobbeda01,2,198,433,52,90,12,5,15,49.0,5.0,53,72.0,Dan,Dobbek,195.0,72.0,L,R,OF,N,0.207852193995381,0.294238683127572,0.36258660508083096
1512,clarkfr01,21,2246,8584,1622,2678,361,220,67,1015.0,509.0,875,511.0,Fred,Clarke,165.0,70.0,L,R,OF,Player,0.31197576887232104,0.37562110159636297,0.428704566635601
8370,tobinbi01,0,38,152,15,24,1,1,0,11.0,,4,25.0,Bill,Tobin,,,L,,1B,N,0.157894736842105,0.179487179487179,0.177631578947368
4023,irwinar01,14,1010,3871,552,934,141,45,5,396.0,,309,378.0,Arthur,Irwin,158.0,68.0,L,R,SS,N,0.24128132265564498,0.29736842105263206,0.304830793076724
8559,vancaal01,4,140,444,44,116,20,6,0,41.0,4.0,24,42.0,Al,Van Camp,175.0,71.0,R,R,1B,N,0.26126126126126104,0.299145299145299,0.33333333333333304
3472,harpebr01,16,1001,3151,339,931,186,7,63,428.0,8.0,133,188.0,Brian,Harper,195.0,74.0,R,R,C,N,0.295461758172009,0.323995127892814,0.41891463027610293
919,brettge01,20,2707,10349,1583,3154,665,137,317,1596.0,201.0,1096,908.0,George,Brett,185.0,72.0,L,R,3B,Player,0.30476374528940003,0.37134119702927,0.4873900859986471
6929,reynocr01,14,1491,4466,480,1142,143,65,42,377.0,58.0,227,406.0,Craig,Reynolds,175.0,73.0,L,R,SS,N,0.255709807433945,0.291711059024078,0.345051500223914
6034,newnapa01,1,123,446,56,95,7,8,2,31.0,20.0,41,,Pat,Newnam,180.0,72.0,R,R,1B,N,0.21300448430493302,0.279260780287474,0.278026905829596
7302,samulik01,0,24,74,5,17,2,0,0,5.0,5.0,5,7.0,Ike,Samuels,,67.0,R,R,3B,N,0.22972972972973,0.278481012658228,0.25675675675675697
3262,griffjo01,2,13,23,7,7,3,0,2,9.0,0.0,3,9.0,John-Ford,Griffin,215.0,74.0,L,L,OF,N,0.304347826086957,0.384615384615385,0.695652173913043
7823,sneades01,2,18,13,4,4,0,0,1,3.0,4.0,1,4.0,Esix,Snead,175.0,70.0,B,R,OF,N,0.307692307692308,0.3571428571428571,0.538461538461538
7408,scheeal01,2,281,931,141,262,48,20,5,105.0,41.0,116,81.0,Al,Scheer,165.0,69.0,L,R,OF,N,0.281417830290011,0.36103151862464206,0.39205155746509096
4670,larocan01,6,404,1184,133,267,53,6,22,113.0,8.0,121,208.0,Andy,LaRoche,205.0,72.0,R,R,3B,N,0.22550675675675697,0.297318007662835,0.336148648648649
1291,carnepa01,3,338,1248,142,308,36,11,3,131.0,43.0,85,105.0,Pat,Carney,200.0,72.0,L,L,OF,N,0.24679487179487197,0.294823705926482,0.300480769230769
2296,driscpa01,0,13,28,2,3,1,0,0,3.0,2.0,2,6.0,Paddy,Driscoll,155.0,68.0,R,R,2B,N,0.107142857142857,0.166666666666667,0.14285714285714302
5934,murragl01,0,38,97,8,19,3,0,2,6.0,1.0,7,36.0,Glenn,Murray,225.0,74.0,R,R,OF,N,0.19587628865979395,0.25,0.288659793814433
2219,donahti01,11,466,1500,196,354,57,12,2,163.0,54.0,142,109.0,Tim,Donahue,180.0,71.0,L,R,C,N,0.23600000000000002,0.302070645554202,0.294
3121,gonzama01,6,795,2466,303,650,139,8,76,292.0,37.0,179,541.0,Marwin,Gonzalez,205.0,73.0,B,R,2B,N,0.263584752635848,0.313421550094518,0.41889699918896994
2269,doylede01,7,944,3290,357,823,113,28,16,237.0,38.0,205,310.0,Denny,Doyle,175.0,69.0,L,R,2B,N,0.250151975683891,0.29413447782546503,0.316109422492401
3805,hoganma01,1,40,141,17,34,4,4,0,18.0,11.0,7,17.0,Marty,Hogan,145.0,68.0,R,R,OF,N,0.24113475177305,0.277027027027027,0.32624113475177297
4497,kobacni01,2,16,33,1,4,0,1,0,0.0,0.0,1,13.0,Nick,Koback,187.0,72.0,R,R,C,N,0.12121212121212101,0.147058823529412,0.18181818181818202
1636,colmafr01,5,271,571,66,130,25,8,15,106.0,0.0,49,66.0,Frank,Colman,186.0,71.0,L,L,OF,N,0.22767075306479898,0.288709677419355,0.37828371278458794
3871,hoskirh01,1,203,728,126,181,45,0,52,144.0,7.0,124,196.0,Rhys,Hoskins,225.0,76.0,R,R,1B,N,0.24862637362637402,0.35798122065727705,0.5247252747252751
698,blairbu01,0,137,484,48,135,26,8,5,66.0,1.0,30,30.0,Buddy,Blair,186.0,72.0,L,R,3B,N,0.278925619834711,0.32101167315175105,0.396694214876033
817,bosetri01,6,445,1543,172,385,70,8,17,133.0,30.0,79,188.0,Rick,Bosetti,185.0,71.0,R,R,OF,N,0.24951393389501,0.286066584463625,0.338302009073234
4558,kronejo01,3,223,702,83,184,47,9,7,105.0,3.0,68,56.0,John,Kroner,185.0,72.0,R,R,3B,N,0.262108262108262,0.327272727272727,0.384615384615385
4978,lupieto01,8,614,2358,285,632,92,30,18,230.0,57.0,241,111.0,Tony,Lupien,185.0,70.0,L,L,1B,N,0.268023748939779,0.3358984224701811,0.355385920271416
6980,ricofr01,0,12,26,2,6,2,0,0,2.0,0.0,9,10.0,Fred,Rico,180.0,70.0,R,R,3B,N,0.23076923076923103,0.42857142857142894,0.307692307692308
9133,yorkru01,14,1603,5891,876,1621,291,52,277,1152.0,38.0,792,867.0,Rudy,York,209.0,73.0,R,R,1B,N,0.275165506705143,0.361065389795002,0.48327957901884205
2467,erautjo01,1,32,43,3,8,1,0,0,1.0,0.0,4,5.0,Joe,Erautt,175.0,69.0,R,R,C,N,0.18604651162790697,0.25531914893617,0.209302325581395
